"Name,""SI"",""Handles"",""VM"",""WS"",""PM"",""NPM"",""Path"",""Company"",""CPU"",""FileVersion"",""ProductVersion"",""Description"",""Product"",""__NounName"",""BasePriority"",""ExitCode"",""HasExited"",""ExitTime"",""Handle"",""SafeHandle"",""HandleCount"",""Id"",""MachineName"",""MainWindowHandle"",""MainWindowTitle"",""MainModule"",""MaxWorkingSet"",""MinWorkingSet"",""Modules"",""NonpagedSystemMemorySize"",""NonpagedSystemMemorySize64"",""PagedMemorySize"",""PagedMemorySize64"",""PagedSystemMemorySize"",""PagedSystemMemorySize64"",""PeakPagedMemorySize"",""PeakPagedMemorySize64"",""PeakWorkingSet"",""PeakWorkingSet64"",""PeakVirtualMemorySize"",""PeakVirtualMemorySize64"",""PriorityBoostEnabled"",""PriorityClass"",""PrivateMemorySize"",""PrivateMemorySize64"",""PrivilegedProcessorTime"",""ProcessName"",""ProcessorAffinity"",""Responding"",""SessionId"",""StartInfo"",""StartTime"",""SynchronizingObject"",""Threads"",""TotalProcessorTime"",""UserProcessorTime"",""VirtualMemorySize"",""VirtualMemorySize64"",""EnableRaisingEvents"",""StandardInput"",""StandardOutput"",""StandardError"",""WorkingSet"",""WorkingSet64"",""Site"",""Container"""
"explorer,""24"",""1446"",""2199566016512"",""97054720"",""43229184"",""74432"",""C:\Windows\Explorer.EXE"",""Microsoft Corporation"",""4,9375"",""6.3.9600.17031 (winblue_gdr.140221-1952)"",""6.3.9600.17031"",""Explorateur Windows"",""Syst?me d?exploitation Microsoft? Windows?"",""Process"",""8"",,""False"",,""4604"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""1446"",""6368"",""."",""196732"","""",""System.Diagnostics.ProcessModule (Explorer.EXE)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""74432"",""74432"",""43229184"",""43229184"",""1189504"",""1189504"",""51015680"",""51015680"",""104087552"",""104087552"",""551452672"",""2199574708224"",""True"",""Normal"",""43229184"",""43229184"",""00:00:02.9375000"",""explorer"",""255"",""True"",""24"",""System.Diagnostics.ProcessStartInfo"",""28/06/2022 10:51:01"",,""System.Diagnostics.ProcessThreadCollection"",""00:00:04.9375000"",""00:00:02"",""542760960"",""2199566016512"",""False"",,,,""97054720"",""97054720"",,"
"Idle,""0"",""0"",""65536"",""4096"",""0"",""0"",,,,,,,,""Process"",""0"",,,,,,""0"",""0"",""."",""0"","""",,,,,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""4096"",""4096"",""65536"",""65536"",,,""0"",""0"",,""Idle"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""65536"",""65536"",""False"",,,,""4096"",""4096"",,"
"Inventory,""0"",""329"",""586235904"",""24662016"",""24567808"",""24904"",,,,,,,,""Process"",""8"",,,,,,""329"",""2820"",""."",""0"","""",,,,,""24904"",""24904"",""24567808"",""24567808"",""283016"",""283016"",""25202688"",""25202688"",""25235456"",""25235456"",""592035840"",""592035840"",,,""24567808"",""24567808"",,""Inventory"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""586235904"",""586235904"",""False"",,,,""24662016"",""24662016"",,"
"LogonUI,""1"",""342"",""2199270653952"",""28684288"",""15007744"",""23760"",,,,,,,,""Process"",""13"",,,,,,""342"",""852"",""."",""0"","""",,,,,""23760"",""23760"",""15007744"",""15007744"",""504776"",""504776"",""15478784"",""15478784"",""33439744"",""33439744"",""249729024"",""2199272984576"",,,""15007744"",""15007744"",,""LogonUI"",,""True"",""1"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""247398400"",""2199270653952"",""False"",,,,""28684288"",""28684288"",,"
"LogonUI,""6"",""363"",""2199229566976"",""21680128"",""6635520"",""25552"",,,,,,,,""Process"",""13"",,,,,,""363"",""6404"",""."",""0"","""",,,,,""25552"",""25552"",""6635520"",""6635520"",""465648"",""465648"",""6840320"",""6840320"",""21852160"",""21852160"",""207851520"",""2199231107072"",,,""6635520"",""6635520"",,""LogonUI"",,""True"",""6"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""206311424"",""2199229566976"",""False"",,,,""21680128"",""21680128"",,"
"lsass,""0"",""1367"",""2199089582080"",""24305664"",""14757888"",""53344"",,,,,,,,""Process"",""9"",,,,,,""1367"",""660"",""."",""0"","""",,,,,""53344"",""53344"",""14757888"",""14757888"",""115880"",""115880"",""15216640"",""15216640"",""24457216"",""24457216"",""68243456"",""2199091499008"",,,""14757888"",""14757888"",,""lsass"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""66326528"",""2199089582080"",""False"",,,,""24305664"",""24305664"",,"
"MgmtDaemon,""0"",""115"",""60329984"",""8097792"",""3846144"",""10736"",,,,,,,,""Process"",""8"",,,,,,""115"",""4832"",""."",""0"","""",,,,,""10736"",""10736"",""3846144"",""3846144"",""110112"",""110112"",""3923968"",""3923968"",""8134656"",""8134656"",""62443520"",""62443520"",,,""3846144"",""3846144"",,""MgmtDaemon"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""60329984"",""60329984"",""False"",,,,""8097792"",""8097792"",,"
"msdtc,""0"",""168"",""2199066566656"",""7544832"",""2420736"",""12144"",,,,,,,,""Process"",""8"",,,,,,""168"",""2084"",""."",""0"","""",,,,,""12144"",""12144"",""2420736"",""2420736"",""77728"",""77728"",""2777088"",""2777088"",""7831552"",""7831552"",""45572096"",""2199068827648"",,,""2420736"",""2420736"",,""msdtc"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""43311104"",""2199066566656"",""False"",,,,""7544832"",""7544832"",,"
"Notifier,""0"",""300"",""551444480"",""17502208"",""16957440"",""24840"",,,,,,,,""Process"",""8"",,,,,,""300"",""1928"",""."",""0"","""",,,,,""24840"",""24840"",""16957440"",""16957440"",""267128"",""267128"",""17231872"",""17231872"",""17657856"",""17657856"",""560930816"",""560930816"",,,""16957440"",""16957440"",,""Notifier"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""551444480"",""551444480"",""False"",,,,""17502208"",""17502208"",,"
"perl,""0"",""93"",""54562816"",""9932800"",""5599232"",""58880"",,,,,,,,""Process"",""8"",,,,,,""93"",""3516"",""."",""0"","""",,,,,""58880"",""58880"",""5599232"",""5599232"",""63360"",""63360"",""5693440"",""5693440"",""9945088"",""9945088"",""71479296"",""71479296"",,,""5599232"",""5599232"",,""perl"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""54562816"",""54562816"",""False"",,,,""9932800"",""9932800"",,"
